part	new_id	question	answer
test	0	What is the first name of the person who doubted it would turn out to be a highly explosive eruption like those that can occur in subduction-zone volcanoes?	
test	1	What is the last name of the person who is best known as a composer of songs and other vocal music?	
test	2	What is the last name of the composer who indicated that the man who moved to Ireland to forestall conscription interest in the occult turned into studies in religious philosophies?	
test	3	What is the name of the person who rarely worked with Heseltine, although they had much in common?	
test	4	What is the last name of the person who transcribed the music of an English composer?	
test	5	How do the Yamacraw Island inhabitants say the name of Jon Voight's character?	
test	6	Who put the rabbit in the bed?	
test	7	What is the first name of the person who was benched for 2 weeks?	
test	8	Who's sister protects a boy from him?	
test	9	What is the full name of the person that had their remains found four days after they had died?	
test	10	What is the last name of the American volcanologist that has died along with the man continued his volcanological studies in Japan?	
test	11	What was the first name of the man who wrote a paper about the rockside-debris avalanche of May 18, 1980?	
test	12	What is the full name of the person whose friend writes that everyone who knew him was amazed he was such a good scientist?	
test	13	Who did Joe Denton give a ride to?	
test	14	What was the name of the school started in Grand Forks?	
test	15	What is the median income for females in the city where 28.7% of households had children under the age of 18 living with them?	
test	16	What state are LM Glasfiber and Cirrus Design located in?	
test	17	Who has a friend named Nick?	
test	18	What were the last names of the people who shared an interest in rock music?	
test	19	What is the nickname of the person who had discussions with the album's producer, about a possible solo record?	
test	20	What Metallica album did Elektra reissue in 1988?	
test	21	What is the first name of the person who plays a prank?	
test	22	What are the names of the three concertos written by Nielsen?	
test	23	What is the full name of the friend of the person that is accused of murdering two soldiers in Afghanistan?	
test	24	What are the names of the four Furlings who live in the forest of Dapplewood?	
test	25	What country did Belgium invade in 1916?	
test	26	What is the full name of the person that was distrusted by the new regime?	
test	27	What was the name of the company that Barbirolli declined an invitation to become the music director?	
test	28	What is the full name of the sax player who's band was joined by one of the most influential jazz soloists of the 1920s after the Goldkette band folded?	
test	29	What is the full name of the person who the YMCA is reportedly sending to Salonica quite soon?	
test	30	What was the last name of the person who starred in La Reine Margot?	
test	31	Who did Jack Taylor hit and chip their tooth?	
test	32	What style of poetry was Wang Wei famous for?	
test	33	How many miles of the Rogue River are Wild and Scenic?	
test	34	What was the full name of the person who was an engineer at the patent office in Stockholm?	
test	35	"What is the last name of the person who said listening to music by the man who rose to national attention in 1956 was ""like busting out of jail""?"	
test	36	What was the full name of what the Labour Party shunned in 1936?	
test	37	What is the name of the court that exiled people?	
test	38	Whose husband is no longer alive?	
test	39	What is the last name of the person who published a paper in 1946 in which he proposed that the carbon in living matter might include 14C as well as non-radioactive carbon??	
test	40	What is the mountain farmer's son named?	
test	41	Elisabeth Andreassen's career almost ended when she failed to qualify for what contest?	
test	42	What is the name of the place that has two volcanic islands?	
test	43	What are the first names of the people in the group who leave to go to a desert music festival before their car breaks down in the middle of nowhere?	
test	44	What is the first name of the person who was in China in Adam's opera?	
test	45	What is the name of the building that uses false doors in some rooms?	
test	46	What is the full name of the wife of the man Sue is involved with?	
test	47	What were the last names of the two people who were married and McCartney was the best man?	
test	48	What is the last name of the man that Ray Cooper replaces in the band?	
test	49	What is Ronnie's assumed last name?	
test	50	What country can southern elephant seals be seen?	
test	51	What is the last name of the person who spends the family's savings to buy his own circus?	
test	52	What does the small bunny warn the village of?	
test	53	What is the last name of the person who agrees to do a cameo appearance as an older version of himself?	
test	54	What is the name of the song that was at first intended to be humorous, and took its title from a character in Douglas Adams' The Hitchhiker's Guide to the Galaxy series of books?	
test	55	What group of people named their new settlement Tallasi?	
test	56	What are the last names of the two individuals who were convinced to purchase Spring Ice?	
test	57	What is the last name of the man that the was with the person that kicked a soldier out of a medical tent?	
test	58	What is the name of the continent that collided with and incorporated islands, reefs and other exotic terrains?	
test	59	What is the name of the poem that is the life history of the first Jain tirthankara Rishabhadeva?	
test	60	What is the first name of the person who is very attracted to someone?	
test	61	What is the full name of the person whose library was an expression of the man as a Christian prince?	
test	62	What is the profession of the person that sees Elizabeth's spirit?	
test	63	What group of people has to pay association fees to Ed Saunders?	
test	64	What is the full name of the character who begs Maisie to deliver a letter?	
test	65	What is the name of the store that opened on 19 October 2006?	
test	66	Who is given the magnet to be auctioned off for charity?	
test	67	What is the full name of the person who invited several liberals to join the conservative ranks?	
test	68	What is the full name of the individual to whom the band sent Slayer t-shirts?	
test	69	What is the full name of the person that the ghost calls on for help bringing the mob boss to justrice?	
test	70	What books of the Bible are the prescribed readings for the feast day taken from?	
test	71	What is the name of the song off the band's fourth album that charted the highest?	
test	72	Who is the investor's niece?	
test	73	What is the name of the lake that dropped to its lowest level on January 22, 1977?	
test	74	Who had a house in Cheyne Walk?	
test	75	Who is the assistant going on a date with?	
test	76	What is the name of the two songs that many music critics compare?	
test	77	What is the full name of the person who screams to get the piano out of the way?	
test	78	What is the name of the airport that is overcrowded?	
test	79	What is the name of the man who put forth a law preventing slaves from engaging free boys in pederastic relationships?	
test	80	"In an interview with what publication did the artist who had the tone of a ""child whisperer"" credit Williams as being central to the recording's development?"	
test	81	What company did the man that was visited in New York have a bad past experience with?	
test	82	What is the first name of the person who takes a tour of Belavia's natural beauty with Paige?	
test	83	What is the nickname of the act that the man who introduced Tom Nero helped push through parliament?	
