part	new_id	question	answer
test	0	Why can camels survive for long without water?	
test	1	Alice's parents have three daughters: Amy, Jessy, and what’s the name of the third daughter?	
test	2	Who gave the UN the land in NY to build their HQ	
test	3	What is a polygon?	
test	4	Which episodes of season four of Game of Thrones did Michelle MacLaren direct?	
test	5	What individual has won the most Olympic gold medals in the history of the games?	
test	6	Which Dutch artist painted “Girl with a Pearl Earring”?	
test	7	What happens when the sun goes down?	
test	8	What is a verb?	
test	9	Who became king of Holland in 1806?	
test	10	Who played Billy the Kid in The Left Handed Gun	
test	11	why did Syd Barrett left the Pink Floyd?	
test	12	What is underwriting?	
test	13	Who saved Andromeda from the sea monster	
test	14	"Who are ''The Lumières"" ?"	
test	15	When was the wheel invented?	
test	16	Are lilies safe for cats?	
test	17	What is Sunshine Recession?	
test	18	What is the currency in use in the Netherlands?	
test	19	In the series A Song of Ice and Fire, who is the founder of House Karstark?	
test	20	What film won the 1943 Oscar as best film	
test	21	which weighs more, cold or hot water?	
test	22	What makes a formula one car so fast?	
test	23	What is LAPR?	
test	24	Name some of the bravolebrities from Vanderpump Rules	
test	25	Name some famous rock bands from the 1960s	
test	26	Who invented the telephone?	
test	27	How many Grammy Awards has Bad Bunny won?	
test	28	What is a kite?	
test	29	What is investment banking?	
test	30	What are some of the best comedy movies of the 1980's?	
test	31	In golf what do the Americans call an albatross	
test	32	What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?	
test	33	"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?"	
test	34	Why are so many US Hollywood films made in the state of Georgia?	
test	35	What are some tools that every homeowner should have?	
test	36	What is an apple?	
test	37	What is the difference between pets and cattle?	
test	38	How do I put a bouquet of fresh flowers in a vase?	
test	39	Wat id DNA annotation?	
test	40	Who were Jaehaerys I Targaryen's children?	
test	41	What is Share capital in finance?	
test	42	How much of American wine is produced in California?	
test	43	Name the three best professional sports teams based in California.	
test	44	Tomb of Sand  was translated from Hindi to English by	
test	45	How many compute services does Azure Synapse have?	
test	46	What happens when you bring flammable objects closer to a fire source or extreme heat?	
test	47	What are the differences between the New York Giants and New York Jets?	
test	48	The former Chairman of Tata Sons died in road accident  en route  from where?	
test	49	What is one year?	
test	50	Who are some of the most successful golfers in history?	
test	51	Which types of fish contain the lowest levels of mercury?	
test	52	How do you make an iced matcha latter?	
test	53	Which is the best place to Kayak in Austin?	
test	54	Whats the difference between a bass guitar and a regular guitar?	
test	55	What is a Gross domestic product (GDP)?	
test	56	Let's imagine I create a fake currency called Yarns with two types of coins: a super-yarn (worth 10 yarns) and a mini-yarn (worth 0.5 yarn). How much money do I have in total if I have 2 super-yarns and three mini-yarns?	
test	57	What is a Mormon?	
test	58	What is the difference between a red delicious and a Granny Smith apple?	
test	59	Who do you think is the most powerful Mandalorian in Star Wars history?	
test	60	Which classical composer was deaf?	
test	61	Who discovered the double-helix DNA structure?	
test	62	What is Bollywood	
test	63	What are Nanotube?	
test	64	What is a secured loan?	
test	65	Should I have Kids?	
test	66	Who was the first American to win a Nobel Peace?	
test	67	What is the FA Cup?	
test	68	What are the 4 oceans on earth	
test	69	Did Harry Potter put his own name in the goblet of fire?	
test	70	What was Angie Thomas's first published novel?	
test	71	What is the difference between a shrub and a tree?	
test	72	Which players won the men's singles grand slam tennis tournaments in 2022.	
test	73	What are the three branches of the US Federal Government?	
test	74	What's the difference between tennis and pickleball?	
test	75	Who is the best NBA player of all time?	
test	76	Which coin of U.S currency has the most ridges.	
test	77	Who was the first woman to have four country albums reach No. 1 on the Billboard 200?	
test	78	What is Game of Thrones based on?	
test	79	What are all of the professional baseball teams in the state of Florida?	
test	80	Do cats have nine lives?	
test	81	How do you make soap?	
test	82	Cases of Anthrax were found in Kerala in which animals?	
test	83	Is there a World Taekwondo Grand Prix	
test	84	Do George Lucas and Steven Spielberg know each other?	
test	85	What type of weather is San Francisco famous for?	
test	86	What are some movies that star Will Ferrell?	
test	87	What is the plot of Harry Potter?	
test	88	How did Alfred Nobel make his money	
test	89	What is the Trans Tahoe Relay?	
test	90	How many musicians performed in the world's largest rock band?	
test	91	Name all the books in the Harry Potter collection	
test	92	What do you know about the city of Aberdeen in Scotland?	
test	93	What is the English Premier League?	
test	94	What is predictive maintenance?	
test	95	What is Terraform?	
test	96	What are the two longest rivers located in the United States?	
test	97	What are the words of House Reed?	
test	98	What city in the United States is known for its Mardi Gras celebrations?	
test	99	What is cryptocurrency?	
test	100	What was the Counter Reformation?	
test	101	How to raise a kitten?	
test	102	Who are the pianists that are considered masters in playing Bach's music?	
test	103	What dog breed is a mix between a Cocker Spaniel and a Poodle?	
test	104	What is the name of the largest red-light district in Amsterdam?	
test	105	What is Brdinje	
test	106	How are tornadoes formed?	
test	107	What is the tiny piece at the end of a shoelace called?	
test	108	What links Brazil, Uruguay, Mozambique and Angola	
test	109	Who were the original 5 members of the Grateful Dead?	
test	110	Which Dutch actress played Xenia Onatopp in the James Bond movie GoldenEye?	
test	111	How did Robert Baratheon die?	
test	112	Increased money supply (i.e. money printing)	
test	113	"What is ""diglossia""?"	
test	114	What is the second oldest ballpark in Major League Baseball?	
test	115	What are index funds?	
test	116	How many campgrounds does Shenandoah National Park have?	
test	117	Who was the first women to do the spacewalk?	
test	118	What is a spiral staircase?	
test	119	Which is considered the first human technology?	
test	120	Why did the Seattle Supersonics leave Seattle?	
test	121	Give me some facts about Ethiopia?	
test	122	Where to visit in Brazil?	
test	123	How many cats did Freddie Mercury have?	
test	124	Walter Koenig played which part in the Star Trek series	
test	125	What is the largest city in Washington state?	
test	126	What is the largest or biggest land animal?	
test	127	What is the current reigning dynasty of Thailand?	
test	128	What is an actuary?	
test	129	What is the fastest car?	
test	130	When is India's independence day?	
test	131	When did Hungary gain its independence?	
test	132	Why do people enjoy surfing	
test	133	Why do companies play dividends?	
test	134	What is Depreciation	
test	135	In a bingo game, which number is represented by the phrase “two little ducks”?	
test	136	What is Jenkins?	
test	137	What language is HP GL	
test	138	"List the ten episode titles from the sixth season of ""Game of Thrones"" in broadcast order."	
test	139	What is the largest airline in the world ?	
test	140	What is guitar amp modeling?	
test	141	Who was Cleopatra's first husband	
test	142	What is the difference between a bass guitar and a normal guitar?`	
test	143	How is data engineering different from data science?	
test	144	What was Freddie Mercury's real name?	
test	145	Which of Shakespeare’s plays is the longest?	
test	146	In 64th Annual Grammy Awards,  best album of the year award was given to	
test	147	How reliable is public transportation?	
test	148	Which city are Stroopwafels from?	
test	149	What is System Thinking	
test	150	What is the difference between a paint and a pinto?	
test	151	Why do some people select private schools over public schools?	
test	152	Who are the top 5 non-fiction writers of all time?	
test	153	What is the difference between a chihuaha and a golden retriever?	
test	154	Jokic or Embiid for the MVP?	
test	155	Why is the most of the world's land is north of the equator?	
test	156	What makes the Expanse series better than other sci-fi?	
test	157	How do you cook ribs?	
test	158	What is the largest state by land size in the United States of America?	
test	159	What colors are typically associated with Christmas?	
test	160	What family do tigers, lions and panthers all belong to?	
test	161	What is an unsecured loan?	
test	162	What is Python?	
test	163	What causes mortgage interest rates to rise in the US?	
test	164	What are the key benefits of Delta Live Tables?	
test	165	I want to buy a work monitor which is to be used along with the laptop. What features of monitor should be considered?	
test	166	Who prepares the Global Hunger Index?	
test	167	What is the team that Michael Jordan played?	
test	168	How much is in a baker's dozen?	
test	169	Why there is no infant rice cereal in the market now?	
test	170	What is the fastest way to travel between the United States and Croatia?	
test	171	What is used to make the dough of boiled Chinese dumplings?	
test	172	What is the difference between natural and real numbers?	
test	173	What is counterintelligence?	
test	174	How does water feel?	
test	175	What country has hosted the Olympic Games the most often?	
test	176	What is the Von Neumann architecture?	
test	177	What is the difference between tennis and pickleball?	
test	178	Why is a higher interest rate on my home worse?	
test	179	Did Magic Johnson or Larry Bird win more collegiate and professional basketball championships?	
test	180	What genre did the Chicks (formerly the Dixie Chicks) begin their career in?	
test	181	Did Sir Winston Churchill win the Nobel Peace Prize?	
test	182	Are the Golden State Warriors a good basketball team?	
test	183	What is the Pulitzer Prize for Fiction?	
test	184	What is Mario Puzo's most famous book?	
test	185	What is the capital city of Malaysia?	
test	186	What are the names of some of the cities in the Boston Metro West area?	
test	187	How many cents do I have if I have 3 quarters?	
test	188	Which Game of Thrones episode does Arya go blind?	
test	189	What color is the Rainbow?	
test	190	Name the Hindi novel that has become the 1st novel to win the International Booker Prize	
test	191	Where does Nick work on the show the New Girl	
test	192	Who wrote the Great Gatsby?	
test	193	What is a bond in finance?	
test	194	Why did Kim Kardashian and Ye divorce?	
test	195	What is the American show The Office based on?	
test	196	Who is Alexander McGuire?	
test	197	What are the disadvantages of Linux?	
test	198	How can I better learn a new language?	
test	199	Eminem's 8 Mile is named after a road in which city?	
test	200	Is it safe for dogs to eat avacado?	
test	201	Who is the founder of the Communist Party?	
test	202	What are some sports that are played with a round ball?	
test	203	What is Kraft Dinner?	
